current_mw,FILLED_baxtel_total_building_sqft,climate_category,company_name,region_B_1,scenario,utilization_u,electricity_twh,co2_mt,weighted_ci_g_per_kwh
103.36478284065622,464740.70161544223,hot summer,company_1,DUK,low_load,0.48,0.43462823888839125,0.23687239019417325,545.0
150.24388655825135,1261040.623508005,hot,company_1,SRP,low_load,0.48,0.6317454942001353,0.34430129433907375,545.0
31.237843675378627,476124.8000532928,hot summer,company_4,MISO,low_load,0.48,0.13134888508623205,0.07158514237199647,545.0
32.56214567719483,370869.1409846477,hot summer,company_4,DUK,low_load,0.48,0.1369173101434688,0.0746199340281905,545.0
299.0370693806963,2150492.798137283,hot summer,company_4,ERCO,low_load,0.48,1.2573910693319519,0.6852781327859139,545.0
37.87806025021423,464014.12347781874,hot summer,company_4,PJM,low_load,0.48,0.1592696677401008,0.08680196891835494,545.0
32.64714475543681,316170.7388293107,cold,company_4,PACW,low_load,0.48,0.1372747142676607,0.07481471927587509,545.0
52.36501238470525,370238.38433459774,cold,company_1,NEVP,low_load,0.48,0.22018440407520865,0.12000050022098872,545.0
35.45722834230212,340032.99617593107,cold,company_1,PACW,low_load,0.48,0.14909055373371197,0.08125435178487303,545.0
31.07879500165328,533375.4096855276,cold,company_4,PNM,low_load,0.48,0.1306801172229517,0.07122066388650868,545.0
49.26142240546326,502256.6607936556,hot summer,company_4,PJM,low_load,0.48,0.2071344289304919,0.11288826376711808,545.0
49.25559255253269,471883.9477040533,cold,company_4,PACE,low_load,0.48,0.20710991556488945,0.11287490398286476,545.0
163.32811348002667,1275069.4165107051,hot summer,company_4,SWPP,low_load,0.48,0.6867620515608162,0.37428531810064486,545.0
45.60559916712542,287248.6370956299,hot summer,company_3,TVA,low_load,0.48,0.19176242337792895,0.1045105207409713,545.0
230.40277157789222,2541539.251497449,hot summer,company_4,TVA,low_load,0.48,0.9687975739307212,0.5279946777922431,545.0
19.60484898662597,90482.1132781842,cold,company_3,BPAT,low_load,0.48,0.08243446901896488,0.04492678561533586,545.0
9.575215682642312,75429.03191432882,cold,company_5,GCPD,low_load,0.48,0.04026186690237439,0.021942717461794044,545.0
40.97784158826464,472718.3539058822,hot summer,company_5,ERCO,low_load,0.48,0.17230362831033516,0.09390547742913267,545.0
38.51227920145169,529482.4296015956,hot summer,company_3,SOCO,low_load,0.48,0.16193643158626406,0.08825535521451391,545.0
39.36980017246609,486637.3231741951,hot summer,company_4,SOCO,low_load,0.48,0.16554213576518542,0.09022046399202606,545.0
