current_mw,FILLED_baxtel_total_building_sqft,climate_category,company_name,region_B_1
102.48357076505616,464740.70161544223,hot summer,company_1,DUK
148.9630177412161,1261040.623508005,hot,company_1,SRP
30.97153280715104,476124.8000532928,hot summer,company_4,MISO
32.28454478461204,370869.14098464773,hot summer,company_4,DUK
296.48769937914994,2150492.798137283,hot summer,company_4,ERCO
37.555139781796555,464014.12347781874,hot summer,company_4,PJM
32.368819223261085,316170.7388293107,cold,company_4,PACW
51.918586822882276,370238.38433459774,cold,company_1,NEVP
35.15494610531709,340032.99617593107,cold,company_1,PACW
30.81384006537895,533375.4096855276,cold,company_4,PNM
48.841455767968846,502256.66079365555,hot summer,company_4,PJM
48.83567561607436,471883.9477040533,cold,company_4,PACE
161.9356981725283,1275069.4165107051,hot summer,company_4,SWPP
45.216799388355504,287248.6370956299,hot summer,company_3,TVA
228.43852709358708,2541539.251497449,hot summer,company_4,TVA
19.437712470759028,90482.1132781842,cold,company_3,BPAT
9.493584439832789,75429.03191432882,cold,company_5,GCPD
40.628494665190544,472718.3539058822,hot summer,company_5,ERCO
38.18395184895758,529482.4296015956,hot summer,company_3,SOCO
39.034162227195885,486637.3231741951,hot summer,company_4,SOCO
37.56488534561272,311056.545740836,hot summer,company_3,ERCO
34.604891474148566,222992.24363504283,hot summer,company_3,PJM
76.25660717781412,332804.9540981276,hot summer,company_3,DUK
22.290302176543854,256901.74414919087,hot summer,company_5,PJM
77.82246910189927,421165.66937153705,hot summer,company_5,MISO
100.55461294854933,929535.4727526571,hot summer,company_3,MISO
71.62622440579524,190350.76539419894,hot summer,company_3,MISO
203.7569801834567,1103600.8453909168,hot summer,company_5,MISO
38.798722620162394,253754.01506653754,hot summer,company_5,MISO
49.27076562551681,287299.85308883595,hot summer,company_1,MISO
29.097440081655904,122308.81966767246,hot summer,company_3,SWPP
21.85227818450894,113933.23264198768,hot summer,company_0,PJM
23.98380333031448,146578.57662691138,hot summer,company_0,PJM
22.73074688525292,153910.6214183082,hot summer,company_0,PJM
6.246763473630956,102136.19599745615,hot summer,company_0,PJM
4.694789087507244,95351.95020699393,hot summer,company_0,PJM
16.167090876003805,135178.84715982055,hot summer,company_0,PJM
14.43226390089618,101856.43099312708,hot summer,company_0,PJM
23.33976743887696,137224.63170483636,hot summer,company_0,PJM
28.275605730216775,115608.01776334575,hot summer,company_0,PJM
20.73846657999541,100901.12397224957,hot summer,company_0,PJM
12.102820968713983,71882.29890686127,hot summer,company_0,PJM
4.971087929402939,20622.441584954144,hot summer,company_0,PJM
27.578454826174998,137385.07172736176,hot summer,company_0,PJM
25.930069213485602,136477.3726463146,hot summer,company_0,PJM
19.280155791605292,204629.7582334174,hot summer,company_0,PJM
9.769680614520107,112016.29035353266,hot summer,company_0,PJM
10.528561113109458,112454.7092606686,hot summer,company_0,PJM
6.103085486870538,34100.73289466079,hot summer,company_0,PJM
7.294783937854906,51296.38497934425,hot summer,company_0,PJM
24.388900763273757,123146.8500198728,hot summer,company_0,PJM
43.1528189830841,247356.59546542863,hot summer,company_0,PJM
11.593846799816424,74440.88252859634,hot summer,company_0,PJM
28.856346804377214,118923.4697900035,hot summer,company_0,PJM
18.927899570246353,124606.35124241638,hot summer,company_0,PJM
18.83815210720458,122637.50696600493,hot summer,company_0,PJM
11.496469486066417,146175.5302120179,hot summer,company_0,PJM
11.81447257448927,139354.9358906302,hot summer,company_0,PJM
20.331263431403563,145847.63020989613,hot summer,company_3,SCEG
15.73165884534177,139680.96513595746,hot summer,company_0,PJM
13.664578033508297,155949.54844370636,hot summer,company_0,PJM
13.870038716335328,150264.47663978796,hot summer,company_0,PJM
25.50644778509186,204405.34708995212,hot summer,company_0,PJM
18.80379337591933,217957.23838749176,hot summer,company_0,PJM
16.65002065791536,146701.4121414556,hot summer,company_0,PJM
42.71248005714164,323070.6825612243,hot summer,company_5,ERCO
9.963994939209833,103070.83350021712,cold,company_0,BPAT
31.505299346838036,122469.2954892791,cold,company_0,PACW
25.452045031309545,256997.38485154105,cold,company_0,BPAT
22.25811228220411,234061.3902002316,cold,company_0,BPAT
50.90348901377103,248534.34861588926,cold,company_0,PACW
2.153803656646597,29536.44598674052,cold,company_5,BPAT
239.57008753068058,1072118.9183924838,hot summer,company_3,PJM
25.877572386976805,160251.55700583392,hot summer,company_0,PJM
22.59433136468333,172341.5619284399,hot summer,company_0,PJM
26.02737813046903,258737.62788181144,cold,company_0,BPAT
15.065285301178628,158439.4886155294,hot summer,company_0,PJM
123.13120405958833,761671.8807953827,hot,company_3,NEVP
40.183521553071,328874.0515204871,hot summer,company_3,ERCO
15.310566422589241,179516.3867471939,hot summer,company_0,PJM
49.45082028040622,218592.90649371158,hot summer,company_0,PJM
40.71422514302349,272114.8559685249,cold,company_0,CISO
42.95578808948303,229919.42099678033,hot summer,company_0,PJM
29.22259467258953,151525.9772690042,hot summer,company_0,PJM
38.38301279421363,466658.49442685564,hot summer,company_4,TVA
